R,Mask Mandate/Hygiene,Variant,Vax rate,Lockdown
0.272460938,2,3,0.2,3
0.303710938,2,1,0,3
0.282226563,2,1,0,3
0.110351563,2,1,0,3
0.106445313,1,1,0.05,3
0.028320313,2,3,0.2,3
0.122070313,2,1,0,3
0.301757813,2,1,0,2
0.223632813,2,2,0.15,2
0.145507813,1,2,0.6,1
0.272460938,1,3,0.66,1
0.266601563,1,1,0,1
0.256835938,1,2,0,1
0.149414063,1,2,0.45,1
0.254882813,1,3,0.55,1
0.219726563,1,3,0.7,1
0.198242188,3,2,0.5,2
0.313476563,2,3,0.7,2
0.188476563,2,2,0.4,2
0.166992188,2,2,0.6,2
0.270507813,2,3,0.7,2
